ID,Name,learning_rate,Group,State,Created,Runtime,lasttest_ps_MAE,besttest_ps_MAE,test_cn_mci_pvalue,test_cn_ad_pvalue,test_mci_ad_pvalue,test_cn_mean,test_mci_mean,test_ad_mean,val_cn_mci_pvalue,val_cn_ad_pvalue,val_mci_ad_pvalue,val_cn_mean,val_mci_mean,val_ad_mean
3t837lv4,woven-dragon-708,0.001,UNet,finished,2023-05-03T22:09:36.000Z,4136,3.064571896,3.048113368,6.712464730391392e-08,1.5473007995494982e-07,0.09884157500407492,0.14220150096996412,2.568297175357216,3.1930371012006487,,,,,,
1ctl0ftl,star-fighter-721,0.0001,ResNet,finished,2023-05-04T12:15:30.000Z,8068,3.202295664,3.153005995,2.6546831248248495e-06,1.391687709652866e-05,0.17225547094708443,-0.8312391332677893,1.4026900642796567,1.861571470896403,,,,,,
39xzp979,star-federation-735,0.0001,ResNet+ImageNet,finished,2023-05-05T02:55:08.000Z,5265,3.241608422,3.124928174,1.3342920962020208e-05,2.7256702603834807e-05,0.15535081358045127,-0.9133193557326859,1.19463025143272,1.6545079776218958,,,,,,
9gpwvep1,sith-destroyer-734,0.0001,ResNet+ImageNet,finished,2023-05-05T01:26:57.000Z,5281,3.202856047,3.202856047,2.9057003491199852e-05,0.00010337252917498402,0.2309230025494141,-0.016865257744316582,2.051622671830027,2.332348482949393,,,,,,
2iz21q1w,scruffy-looking-parsec-732,0.0001,ResNet+BraTS,finished,2023-05-04T22:41:12.000Z,4656,3.119652413,3.146247451,3.610065254786693e-06,6.588858172432734e-05,0.29770510054401167,0.5291217082255596,2.7653851559287626,2.9890532947721935,,,,,,
245vxjdw,scruffy-looking-carrier-740,1e-05,ResNet+ImageNet+BraTS,finished,2023-05-05T10:21:48.000Z,5393,3.236106941,3.20510878,1.7750448663427382e-05,0.0005228636072852118,0.3888456654597183,-0.15022937671558276,1.9677999998393811,2.0584706578935896,,,,,,
3g343thx,rebel-emperor-722,0.0001,ResNet+BraTS,finished,2023-05-04T14:30:24.000Z,4807,3.116438926,3.116438926,5.57124501141791e-07,6.499073614492547e-06,0.22263867092368017,-0.06500501890440245,2.3306093717876233,2.6540075710841586,,,,,,
2kawrnhu,mythical-destroyer-725,0.0001,ResNet+BraTS,finished,2023-05-04T18:30:16.000Z,4768,3.149694288,3.149694288,7.237538105789742e-06,7.826362888629091e-05,0.26899433855678034,0.2434360744716885,2.4134680898565994,2.7188532920110795,,,,,,
268kx27i,light-tie-fighter-723,0.0001,ResNet+BraTS,finished,2023-05-04T15:50:58.000Z,4715,3.189040244,3.173770045,1.445204521060998e-06,1.632016474717685e-05,0.22351184872362467,-0.8379503542238528,1.4290790557861328,1.763050465356736,,,,,,
3nl7w63n,legendary-transport-719,0.0001,ResNet,finished,2023-05-04T07:46:12.000Z,8050,3.209128096,3.273224014,1.801509019065739e-05,5.295569894065427e-05,0.2001360676997685,0.10670024425059825,2.18576112044485,2.549198718298049,,,,,,
